Date,Workout Name,Exercise Name,Set Order,kg,Reps,km,Seconds,Notes
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",2,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",3,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",4,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",5,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",6,30.0,10,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",7,30.0,8,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",8,30.0,7,0.0,0,""
2015-04-30 09:00:51,"GVT Incline Bench","Incline Bench Press",9,30.0,6,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",0,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",1,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",2,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",3,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",4,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",5,55.0,10,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",6,55.0,9,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",7,55.0,7,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",8,55.0,7,0.0,0,""
2015-05-01 09:00:16,"GVT Pull Down","Lat Pulldown (Custom)",9,55.0,7,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",0,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",1,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",2,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",3,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",4,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",5,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",6,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",7,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",8,40.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Bench Press",9,40.0,8,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Squat",0,65.0,10,0.0,0,""
2015-05-01 20:15:08,"GVT Bench","Squat",1,65.0,5,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",0,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",1,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",2,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",3,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",4,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",5,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",6,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",7,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",8,40.0,10,0.0,0,""
2015-05-05 20:15:08,"GVT Bench","Bench Press",9,40.0,8,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",0,24.0,10,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",1,24.0,10,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",2,24.0,10,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",3,24.0,10,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",4,24.0,6,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",5,24.0,7,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",6,24.0,7,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",7,24.0,8,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",8,24.0,7,0.0,0,""
2015-05-06 20:15:08,"Thursday","Bent Over Row (Dumbbell)",9,24.0,6,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",0,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",1,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",2,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",3,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",4,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",5,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",6,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",7,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",8,30.0,10,0.0,0,""
2015-05-07 20:15:08,"GVT Incline Bench","Incline Bench Press",9,30.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",0,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",1,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",2,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",3,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",4,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",5,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",6,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",7,55.0,10,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",8,55.0,9,0.0,0,""
2015-05-08 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",9,55.0,9,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",0,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",1,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",2,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",3,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",4,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",5,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",6,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",7,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",8,40.0,10,0.0,0,""
2015-05-11 20:15:08,"GVT Bench","Bench Press",9,40.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",0,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",1,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",2,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",3,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",4,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",5,24.0,10,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",6,24.0,6,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",7,24.0,7,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",8,24.0,5,0.0,0,""
2015-05-12 20:15:08,"Thursday","Bent Over Row (Dumbbell)",9,24.0,5,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",0,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",1,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",2,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",3,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",4,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",5,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",6,32.5,10,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",7,32.5,8,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",8,32.5,7,0.0,0,""
2015-05-19 20:15:08,"GVT Incline Bench","Incline Bench Press",9,32.5,7,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",0,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",1,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",2,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",3,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",4,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",5,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",6,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",7,55.0,10,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",8,55.0,7,0.0,0,""
2015-05-20 20:15:08,"GVT Pull Down","Lat Pulldown (Custom)",9,55.0,7,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",0,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",1,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",2,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",3,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",4,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",5,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",6,42.5,10,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",7,42.5,8,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",8,42.5,6,0.0,0,""
2015-05-21 20:15:08,"GVT Bench","Bench Press",9,42.5,6,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",0,24.0,10,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",1,24.0,10,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",2,24.0,10,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",3,24.0,10,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",4,24.0,10,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",5,24.0,8,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",6,24.0,7,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",7,24.0,7,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",8,24.0,6,0.0,0,""
2015-05-22 20:15:08,"Thursday","Bent Over Row (Dumbbell)",9,24.0,6,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",0,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",1,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",2,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",3,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",4,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",5,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",6,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",7,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",8,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Deadlift",9,60.0,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",0,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",1,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",2,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",3,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",4,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",5,32.5,10,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",6,32.5,8,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",7,32.5,4,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",8,32.5,6,0.0,0,""
2015-05-26 20:15:08,"GVT Incline Bench","Incline Bench Press",9,32.5,6,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",0,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",1,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",2,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",3,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",4,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",5,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",6,42.5,9,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",7,42.5,7,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",8,42.5,7,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",9,42.5,7,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",0,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",1,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",2,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",3,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",4,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",5,55.0,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",6,55.0,8,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Lat Pulldown (Custom)",7,55.0,5,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",0,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",1,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",2,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",3,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",4,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",5,42.5,10,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",6,42.5,9,0.0,0,""
2015-05-27 20:15:08,"GVT Bench","Bench Press",7,42.5,7,0.0,0,""
